source,time,yaw,pitch,roll,altitude,lat,lng,relative_alt,pointing_a,pointing_b,pointing_c
GPS2_RAW,826.756,0.0,,,,48.5616614,35.099308199999996,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-432.0
GLOBAL_POSITION_INT,826.955,,,,,48.561709099999995,35.0993375,718.963,,,
ATTITUDE,827.071,1.1009440422058105,0.31861984729766846,-0.0540800616145134,,,,,,,
AHRS2,,1.2013227939605713,0.32071173191070557,-0.0560389868915081,0.0,0.0,0.0,,,,
AHRS3,,1.1009440422058105,0.31861984729766846,-0.0540800616145134,776.0,48.561709099999995,35.0993375,,,,
GPS_RAW_INT,826.9549999999999,0.0,,,,48.5616809,35.099320999999996,,,,
GPS2_RAW,826.956,0.0,,,,48.5616809,35.099320999999996,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-433.0
GLOBAL_POSITION_INT,827.172,,,,,48.5617344,35.0993539,719.999,,,
ATTITUDE,827.331,1.0939337015151978,0.3231774866580963,-0.06952135264873505,,,,,,,
AHRS2,,1.1915042400360107,0.32428884506225586,-0.06822116672992706,0.0,0.0,0.0,,,,
AHRS3,,1.0939337015151978,0.3231774866580963,-0.06952135264873505,777.0,48.5617344,35.0993539,,,,
GPS_RAW_INT,827.355,0.0,,,,48.561719499999995,35.099346,,,,
GPS2_RAW,827.356,0.0,,,,48.561719499999995,35.099346,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-434.0
GLOBAL_POSITION_INT,827.5550000000001,,,,,48.561759699999996,35.099370199999996,721.039,,,
ATTITUDE,827.611,1.104198932647705,0.33653199672698975,-0.07215040922164917,,,,,,,
AHRS2,,1.2012189626693726,0.33643096685409546,-0.06944981217384338,0.0,0.0,0.0,,,,
AHRS3,,1.104198932647705,0.33653199672698975,-0.07215040922164917,778.0,48.5617617,35.099371399999995,,,,
GPS_RAW_INT,827.555,0.0,,,,48.561738899999995,35.099358599999995,,,,
GPS2_RAW,827.555,0.0,,,,48.561738899999995,35.099358599999995,,,,
GLOBAL_POSITION_INT,827.755,,,,,48.5617871,35.0993873,722.192,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-432.0
GPS_RAW_INT,827.755,0.0,,,,48.5617582,35.099370799999996,,,,
GPS2_RAW,827.755,0.0,,,,48.5617582,35.099370799999996,,,,
ATTITUDE,827.956,1.12673020362854,0.34065091609954834,-0.06708011031150818,,,,,,,
AHRS2,,1.223795771598816,0.3403790593147278,-0.06422831863164902,0.0,0.0,0.0,,,,
AHRS3,,1.12673020362854,0.34065091609954834,-0.06708011031150818,780.0,48.561794899999995,35.099392,,,,
GPS_RAW_INT,828.1719999999999,0.0,,,,48.5617969,35.0993947,,,,
GPS2_RAW,828.1719999999999,0.0,,,,48.5617969,35.0993947,,,,
GLOBAL_POSITION_INT,828.172,,,,,48.5618182,35.0994064,723.547,,,
ATTITUDE,828.232,1.1299232244491577,0.34138086438179016,-0.03824658319354057,,,,,,,
AHRS2,,1.22861647605896,0.33995744585990906,-0.034931838512420654,0.0,0.0,0.0,,,,
AHRS3,,1.1299232244491577,0.34138086438179016,-0.03824658319354057,781.0,48.561822,35.0994087,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-432.0
GPS_RAW_INT,828.372,0.0,,,,48.561816099999994,35.0994065,,,,
GPS2_RAW,828.372,0.0,,,,48.561816099999994,35.0994065,,,,
GLOBAL_POSITION_INT,828.3720000000001,,,,,48.5618425,35.0994216,724.648,,,
ATTITUDE,828.532,1.122969627380371,0.33539363741874695,-0.042605698108673096,,,,,,,
AHRS2,,1.2223494052886963,0.33638277649879456,-0.04206015169620514,0.0,0.0,0.0,,,,
AHRS3,,1.122969627380371,0.33539363741874695,-0.042605698108673096,782.0,48.56185,35.099426199999996,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-432.0
GPS_RAW_INT,828.555,0.0,,,,48.561835099999996,35.0994181,,,,
GPS2_RAW,828.5559999999999,0.0,,,,48.561835099999996,35.0994181,,,,
GLOBAL_POSITION_INT,828.5550000000001,,,,,48.5618669,35.0994369,725.759,,,
ATTITUDE,828.756,1.1148582696914673,0.3327088952064514,-0.06748156249523163,,,,,,,
